Rank,PlayerName,Nationality,Position,Squad,Age,BirthYear,MatchPlayed,GamesStarted,MinutesPlayed,MinutesDividedBy90,Goals,Assists,NonPenalityGoals,PenalityKicksScored,PenalityKicksAttempted,YellowCards,RedCards,GoalsPer90Minutes,AssistsPer90Minutes,GoalsAndAssistsPer90Minutes,NonPenalityGoalsPer90Minutes,NonPenalityGoalsAndAssistsPer90Minutes,ExpectedGoals,ExpectedNonPenalityGoals,ExpectedAssists,ExpectedNonPenalityGoalsAndAssists,ExpectedGoalsPer90Minutes,ExpectedAssistsPer90Minutes,ExpectedGoalsAndAssistsPer90Minutes,ExpectedNonPenalityGoalsPer90Minutes,ExpectedNonPenalityGoalsAndAssistsPer90Minutes
150,Aarón Escandell\Aaron-Escandell,es ESP,GK,Granada,24,1995,5,5,450,5.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
151,Dani Escriche\Dani-Escriche,es ESP,FWMF,Huesca,22,1998,23,7,857,9.5,1,1,1,0,0,5,1,0.11,0.11,0.21,0.11,0.21,1.4,1.4,1.3,2.6,0.14,0.13,0.28,0.14,0.28
152,Sergio Escudero\Sergio-Escudero,es ESP,DF,Sevilla,30,1989,9,7,565,6.3,1,0,1,0,0,3,0,0.16,0.00,0.16,0.16,0.16,0.2,0.2,0.5,0.7,0.03,0.08,0.12,0.03,0.12
153,Alfonso Espino\Alfonso-Espino,uy URU,DF,Cádiz,28,1992,32,31,2601,28.9,0,3,0,0,0,6,0,0.00,0.10,0.10,0.00,0.10,0.2,0.2,1.3,1.5,0.01,0.04,0.05,0.01,0.05
154,Vicente Esquerdo\Vicente-Esquerdo,es ESP,MF,Valencia,21,1999,4,3,231,2.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.03,0.04,0.01,0.04
155,Pervis Estupiñán\Pervis-Estupinan,ec ECU,DF,Villarreal,22,1998,25,12,1168,13.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,1.3,1.8,0.04,0.10,0.14,0.04,0.14
156,Xabier Etxeita\Xabier-Etxeita,es ESP,DF,Getafe,32,1987,11,9,883,9.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.7,0.05,0.02,0.07,0.05,0.07
157,Edu Expósito\Edu-Exposito,es ESP,MF,Eibar,23,1996,31,27,2455,27.3,0,3,0,0,2,4,0,0.00,0.11,0.11,0.00,0.11,3.3,1.8,2.8,4.6,0.12,0.10,0.22,0.07,0.17
158,Jokin Ezkieta\Jokin-Ezkieta,es ESP,GK,Athletic Club,23,1996,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
159,Fali\Fali,es ESP,DFMF,Cádiz,26,1993,34,29,2637,29.3,0,0,0,0,0,11,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.7,1.4,0.02,0.02,0.05,0.02,0.05
160,Ansu Fati\Ansu-Fati,es ESP,FW,Barcelona,17,2002,7,6,431,4.8,4,0,4,0,0,1,0,0.84,0.00,0.84,0.84,0.84,1.8,1.8,1.4,3.2,0.37,0.29,0.66,0.37,0.66
161,Nabil Fekir\Nabil-Fekir,fr FRA,MFFW,Betis,27,1993,33,33,2622,29.1,5,6,4,1,3,5,1,0.17,0.21,0.38,0.14,0.34,7.5,5.2,5.3,10.5,0.26,0.18,0.44,0.18,0.36
162,Felipe\Felipe,br BRA,DF,Atlético Madrid,31,1989,31,23,2057,22.9,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.2,1.1,0.04,0.01,0.05,0.04,0.05
163,João Félix\Joao-Felix,pt POR,FWMF,Atlético Madrid,20,1999,31,14,1572,17.5,7,5,6,1,2,6,0,0.40,0.29,0.69,0.34,0.63,5.1,3.6,3.8,7.3,0.29,0.22,0.51,0.20,0.42
164,Aitor Fernández\Aitor-Fernandez,es ESP,GK,Levante,29,1991,29,29,2610,29.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
165,Álex Fernández\Alex-Fernandez,es ESP,MF,Cádiz,27,1992,25,21,1946,21.6,4,1,2,2,2,1,0,0.18,0.05,0.23,0.09,0.14,3.2,1.7,1.8,3.5,0.15,0.08,0.23,0.08,0.16
166,Álvaro Fernández\Alvaro-Fernandez,es ESP,GK,Huesca,22,1998,22,22,1980,22.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00
167,Andrés Fernández\Andres-Fernandez,es ESP,GK,Huesca,33,1986,16,16,1440,16.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
168,Augusto Fernández\Augusto-Fernandez,ar ARG,MF,Cádiz,34,1986,12,4,369,4.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
169,Carlos Fernández\Carlos-Fernandez,es ESP,FW,Sevilla,24,1996,5,2,143,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.09,0.06,0.14,0.09,0.14
170,Carlos Fernández\Carlos-Fernandez,es ESP,FWMF,Real Sociedad,24,1996,11,4,390,4.3,1,2,1,0,0,5,0,0.23,0.46,0.69,0.23,0.69,1.1,1.1,0.6,1.8,0.26,0.15,0.41,0.26,0.41
171,Joaquín Fernández\Joaquin-Fernandez,es ESP,DF,Valladolid,24,1996,25,24,2073,23.0,1,0,1,0,0,8,0,0.04,0.00,0.04,0.04,0.04,1.3,1.3,0.3,1.5,0.05,0.01,0.07,0.05,0.07
172,Fernando\Fernando,br BRA,MF,Sevilla,33,1987,31,28,2546,28.3,3,4,3,0,0,6,0,0.11,0.14,0.25,0.11,0.25,0.7,0.7,3.4,4.1,0.02,0.12,0.14,0.02,0.14
173,David Ferreiro\David-Ferreiro,es ESP,MFFW,Huesca,32,1988,37,29,2527,28.1,2,4,2,0,0,5,0,0.07,0.14,0.21,0.07,0.21,1.9,1.9,5.5,7.4,0.07,0.19,0.26,0.07,0.26
174,Facundo Ferreyra\Facundo-Ferreyra,ar ARG,FW,Celta Vigo,29,1991,13,2,300,3.3,1,0,1,0,0,5,1,0.30,0.00,0.30,0.30,0.30,1.4,1.4,0.0,1.4,0.43,0.00,0.43,0.43,0.43
175,Fidel\Fidel,es ESP,MFDF,Elche,30,1989,30,28,2396,26.6,6,3,4,2,3,8,0,0.23,0.11,0.34,0.15,0.26,4.1,1.9,5.1,6.9,0.16,0.19,0.35,0.07,0.26
176,Junior Firpo\Junior-Firpo,es ESP,DF,Barcelona,23,1996,7,3,289,3.2,1,1,1,0,0,2,0,0.31,0.31,0.62,0.31,0.62,0.8,0.8,0.7,1.5,0.26,0.21,0.47,0.26,0.47
177,Kingsley Fobi\Kingsley-Fobi,gh GHA,DF,Granada,21,1998,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
178,Ramón Folch\Ramon-Folch,es ESP,MF,Elche,30,1989,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
179,José Fontán\Jose-Fontan,es ESP,DF,Celta Vigo,20,2000,14,7,652,7.2,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.6,0.08,0.00,0.08,0.08,0.08
180,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,DF,Granada,27,1993,32,32,2663,29.6,0,4,0,0,0,7,0,0.00,0.14,0.14,0.00,0.14,0.3,0.3,1.8,2.1,0.01,0.06,0.07,0.01,0.07
181,Juan Foyth\Juan-Foyth,ar ARG,DFMF,Villarreal,22,1998,16,13,1168,13.0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.01,0.02,0.02,0.01,0.02
182,Jorge de Frutos\Jorge-de-Frutos,es ESP,MFFW,Levante,23,1997,37,22,2186,24.3,4,9,4,0,0,3,0,0.16,0.37,0.54,0.16,0.54,3.3,3.3,5.3,8.6,0.13,0.22,0.35,0.13,0.35
183,Ramiro Funes Mori\Ramiro-Funes-Mori,ar ARG,DF,Villarreal,29,1991,10,8,727,8.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.0,1.2,0.15,0.00,0.15,0.15,0.15
184,Javi Galán\Javi-Galan,es ESP,DF,Huesca,25,1994,37,34,3065,34.1,1,2,1,0,0,5,0,0.03,0.06,0.09,0.03,0.09,0.2,0.2,3.1,3.3,0.01,0.09,0.10,0.01,0.10
185,Enric Gallego\Enric-Gallego,es ESP,FW,Osasuna,33,1986,22,8,806,9.0,0,2,0,0,0,2,0,0.00,0.22,0.22,0.00,0.22,1.5,1.5,0.7,2.1,0.16,0.07,0.24,0.16,0.24
186,Kévin Gameiro\Kevin-Gameiro,fr FRA,FW,Valencia,33,1987,27,10,1077,12.0,4,1,4,0,0,0,0,0.33,0.08,0.42,0.33,0.42,3.4,3.4,1.2,4.6,0.29,0.10,0.38,0.29,0.38
187,Aleix García\Aleix-Garcia,es ESP,MF,Eibar,23,1997,11,5,437,4.9,0,1,0,0,0,1,0,0.00,0.21,0.21,0.00,0.21,0.4,0.4,0.8,1.2,0.07,0.17,0.24,0.07,0.24
188,Borja García\Borja-Garcia,es ESP,MFFW,Huesca,29,1990,21,13,1117,12.4,1,0,1,0,0,0,0,0.08,0.00,0.08,0.08,0.08,1.3,1.3,1.2,2.5,0.10,0.10,0.20,0.10,0.20
189,Dani García\Dani-Garcia,es ESP,MF,Athletic Club,30,1990,27,21,1920,21.3,0,1,0,0,0,8,0,0.00,0.05,0.05,0.00,0.05,0.4,0.4,0.4,0.8,0.02,0.02,0.04,0.02,0.04
190,David García\David-Garcia,es ESP,DF,Osasuna,26,1994,35,35,3150,35.0,1,0,1,0,0,8,0,0.03,0.00,0.03,0.03,0.03,1.5,1.5,0.3,1.8,0.04,0.01,0.05,0.04,0.05
191,Manu García\Manu-Garcia,es ESP,MF,Alavés,34,1986,25,10,1124,12.5,0,0,0,0,0,9,1,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.3,1.0,0.06,0.02,0.08,0.06,0.08
