Rank,PlayerName,Nationality,Position,Squad,Age,BirthYear,MinutesDividedBy90,Goals,Shots,ShotsOnTarget,ShotsOnTargetPercentage,ShotsPer90Minutes,ShotsOnTargetPer90Minutes,GoalsPerShot,GoalsPerShotOnTarget,AverageDistanceFromGoalOnShot,FreeKicks,PenalityKicks,PenalityKicksAttempted,ExpectedGoals,ExpectedNonPenalityGoals,ExpectedGoalsPerShot,DifferenceBetweenExpectedAndRealGoals,NonPenalityGoalsMinusExpectedNonPenalityGoals
382,Nacho\Nacho,es ESP,DF,Valladolid,31,1989,20.1,0,8,1,12.5,0.40,0.05,0.00,0.00,21.3,3,0,0,0.3,0.3,0.04,-0.3,-0.3
383,Nano\Nano,es ESP,FWMF,Cádiz,25,1995,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
384,Roberto Navarro\Roberto-Navarro,es ESP,MF,Real Sociedad,18,2002,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
385,Ximo Navarro\Ximo-Navarro,es ESP,DF,Alavés,30,1990,26.4,1,13,3,23.1,0.49,0.11,0.08,0.33,24.9,0,0,0,0.3,0.3,0.02,+0.7,+0.7
386,Jesús Navas\Jesus-Navas,es ESP,DF,Sevilla,34,1985,31.4,0,15,2,13.3,0.48,0.06,0.00,0.00,18.3,0,0,0,1.0,1.0,0.07,-1.0,-1.0
387,Raúl Navas\Raul-Navas,es ESP,DF,Osasuna,32,1988,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
388,Álvaro Negredo\Alvaro-Negredo,es ESP,FW,Cádiz,34,1985,24.4,8,47,20,42.6,1.92,0.82,0.17,0.40,14.4,1,0,0,6.3,6.3,0.13,+1.7,+1.7
389,Neto\Neto,br BRA,GK,Barcelona,31,1989,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
390,Carlos Neva\Carlos-Neva,es ESP,DF,Granada,24,1996,20.0,0,8,1,12.5,0.40,0.05,0.00,0.00,22.1,0,0,0,0.5,0.5,0.06,-0.5,-0.5
391,Mamor Niang\Mamor-Niang,sn SEN,FWMF,Getafe,18,2002,0.2,0,1,0,0.0,4.09,0.00,0.00,,8.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1
392,Nieto\Nieto,es ESP,FWMF,Cádiz,22,1998,0.2,0,1,0,0.0,6.43,0.00,0.00,,3.0,0,0,0,0.3,0.3,0.27,-0.3,-0.3
